emotion,utterance
disgust,i dont care if you are my brother
sadness,ooh i miss dating
surprise,so eight days late huh
sadness,my marriage i think my marriage is um is kinda over
fear,oh joey i have such a problem
anger,oh but mon if you touch my guitar again i ll have to pound on you for a little bit
neutral,where you work the uh waiters eat with the waiters right
disgust,yeah save it for the cab okay
non-neutral,oh crap
disgust,well you may wanna rethink the dirty underwear
joy,i bet this will work
neutral,okay
disgust,ohh god nobody likes him and he s so cheap he d never fly to london in a million years
fear,i m i m freaking out
disgust,ok is there a mute button on this woman
surprise,oh what s that honey
anger,wh ross what do you want from me
disgust,and shame on you
joy,i know its great
joy,great okay here
sadness,seven years
neutral,y know twin stuff is always a real big seller
sadness,i am so sorry i spilled wine all over your shirt
anger,okay yknow what there is no more left left
joy,i love working with designers
anger,fine here take a hike toots
disgust,oh yeah boy urine cuts
disgust,what the hell s a matter with you
neutral,umm hey a couple of questions though
joy,we re just celebrating that joey got his health insurance back
non-neutral,i have to pee and rachels in the bathroom
joy,i love hiking
non-neutral,look all my stuff is safe and dry and all hers is is is growing new stuff
sadness,and of course the indians
non-neutral,oh maybe these ll taste a little like your grandmother s
non-neutral,that s all right we we don t need you in fact hey i m over it already
anger,because if you feel uncomfortable with your friend dating someone you work for there are always ways to fix that
anger,i don t have time to convince you because he s only here for four hours and i m gonna go see him
joy,great go get him
anger,no but you shouldnt dont ever do that again
anger,monica i m not gonna screw it up
disgust,y know like the thing when you put the phone in your pants
anger,well we ll see
surprise,well this is ironic
disgust,ugh
neutral,you you make sure monica does not find out okay
sadness,it took me years to find one man that i wanna spend my life with if i have to wait another years then ill be before i can have a baby and thats just stupid
fear,i m sorry i wa i wa i was just ah
surprise,you really like it
sadness,i m sorry i thought i could do it and i can t
joy,yes
disgust,why dont we just put poor little tooty out in the hall
neutral,you ll see
non-neutral,hey are you okay
anger,i can t believe i did this what an idiot
surprise,what he doesn t like josh
joy,hey honey i missed you today
fear,but only because i was up all night worried about this meeting ain t that funny
joy,i m so glad you liked it
fear,okay i can t imagine i can t imagine my life without you
surprise,these pants are burning up
disgust,no
neutral,hey joey come taste this
surprise,youre not gone
non-neutral,thats funny who are they
sadness,well that was depressing i think i just bought a soft pretzel from one of the kids from
anger,i already had a baby leave me alone
neutral,okay
joy,ohh and the nicest girlfriend
disgust,yes on a scale from to being the dumbest a person can look you are definitely
anger,no i dont stop it stop it stop it stop it
anger,gimme the this
sadness,okay i uh i cant see you anymore
joy,i mean the fact that you are here means more to me than if this room were filled with people
joy,oh what a fun office
fear,no o o
non-neutral,ah ah get out of here uh meeting someone or or are you just here to brush up on marion s views on evolution
neutral,sure
non-neutral,oh thank you that s very helpful i m glad you came over
fear,okay okay okay look just dont freak out but i kinda lost it
surprise,uh what
surprise,what i didnt touch a guitar
neutral,okay look just do it gently
disgust,eh yknow what she s to political she probably wouldn t let you do it unless you donated four cans of food first
neutral,oh honey don t worry shes gonna make it on time
anger,hating you
non-neutral,what
non-neutral,i m really not deciding
sadness,look i just lost my other job
sadness,this is the worst christmas ever
sadness,so this is it victor
surprise,it took you that long to figure it out huh
non-neutral,i knew that was him
fear,somebody wanna help me tryin to rip out my heart uh thats great anybody seen a nipple
disgust,i think i know what s going on here
sadness,we werent but we had one class together he was such a great guy and he talked so passionately about science i always remembered him
joy,howdy partner
joy,good job couldn t have done it without ya
disgust,then he comes over i m so worried about you uck be a man
non-neutral,hmm soup i mean noodle soup i mean soup
joy,no year happy no year
neutral,okay
surprise,really
sadness,so what about us everything we feel for each other
neutral,i don t know something either trees or disease ralph mumbles a lot
joy,thank you you havent said anything
anger,i turned it off mother of god i turned it off
neutral,you want some coffee
fear,i m so sorry please stop freaking out
joy,because he ll know what to do oh my god you re a genius
fear,what am i gonna do
fear,no no no no
non-neutral,all right well i guess i gotta go get a job i m gonna go see my agent
joy,thread
anger,damnit damnit damnit damnit
anger,dude if you go back out there you re gonna be dead ross
fear,look confident
joy,hey so estelle lined up a bunch of auditions for me tomorrow and i ll have my health insurance back in no time
disgust,oh yeah he looked like a real lumberjack in those pink lacys
neutral,date of birth
surprise,what ow
disgust,you know it still smells like monkey in there
sadness,yeah but we won t be able to like get up in the middle of the night and have those long talks about our feelings and the future
fear,cause i kinda all ready told her uh it was it was already taken care of
disgust,ugly naked guys laying kitchen tile eww
sadness,im sorry
fear,stop the bus wait wait wait
anger,damn you s
neutral,well i just wanted to see where you lived now give me the tour
anger,oh sure i am because you always have to be right
disgust,does that smell bother you
anger,well she graduated from high school
joy,hey pheebs it s joey
joy,hey
non-neutral,chandler we said we would meet at the coffeehouse at six
surprise,no no no no no no no no you cant come in here r r r r ross is naked
sadness,i m gonna miss you
disgust,are you kidding another week with that sip i ll kill
disgust,oh please
anger,fine
joy,okay i love you so much
surprise,i thought you said those jokes were funny joke joke joke
non-neutral,how needy do i want to seem
sadness,ye ye yeah yes i do
joy,they call me cookie dude
surprise,why
fear,sure now i m scared
sadness,no more joey and chan s
fear,but we we didn t have sex uh did we
non-neutral,she loves you
anger,damnit phoebe
anger,later is not good enough
fear,are we okay now
joy,wow nice manly and also kind of a slut
joy,i actually feel like i m going on a real date
surprise,what s with all this sand
fear,you dont think theyll judge and ridicule me
joy,little toast here ding ding
neutral,you just take a big big swing
surprise,oh wow huh boy well someone s been doing their homework
disgust,youre one to talk
joy,i must say its nice to see you back on your feet
sadness,yeah i guess it is
neutral,why would i tell him
joy,hey hey hey ho ho i got this one
sadness,i m sorry
neutral,her names ronni shes a pet mortician
joy,you re our little em
sadness,sorry
sadness,well yeah y know how ross and i were on again off again on again off again
joy,lets go
neutral,you bet maybe some other time
joy,all right there are no questions in the happy place okay just the warm breeze and the moonlight flowing through the trees
fear,uh oh
anger,yeah well yknow maybe you just need to try a little harder
non-neutral,how do you figure that
joy,its like my favorite fairy tale come true the princess the stable boy and the lesbian
surprise,thank you oww god
non-neutral,yes
non-neutral,he obviously lost his mind
anger,okay well you are just gonna have too okay
non-neutral,oh ross calm down i ll give you the cents
disgust,this is disgusting
surprise,you can
disgust,sells drugs to kids
sadness,i don t want to lose you
joy,you are just the sweetest
fear,okay oh wait one more thing umm do do we still need to uh settle the question of us
disgust,oh well that s what i thought about my first husband now i m lucky if my kid gets to spend the weekend with her father and the twins and little ms new boobs
joy,they keep throwing these sexual harassment cases at me and i keep knocking them out of the park
anger,okay i m next don t don t start another game i said i m next phoebe
fear,but the audition s in a couple hours and i don t even understand the game
surprise,i don t know how any of these got opened
sadness,maybe this would ve happened if i d been more nurturing or i d paid more attention or i had a uterus
disgust,yeah i m gonna go to a doctor who went to school in a mini mall
fear,no i won t leave you
joy,lift and slide
non-neutral,i didn t i never said that
joy,and y know what jake says that women s underwear is actually more comfortable and he loves the way the silk feels against his skin
fear,well she walked in when i was looking at the ring brochures you can understand that right guys guys
anger,okay do you okay do you have a search warrant because the last time i checked this was still america
non-neutral,yeah no one talks like that
anger,what are you still doin here i told you lobster ravioli
disgust,i mean how needy is that
joy,they look great does your boyfriend have the best taste or what
joy,okay
sadness,yeah i m fine
non-neutral,oh
fear,no that could kill her
sadness,oh that s too bad i ve kinda been saving up uh are you sure there s no studies i can participate in
non-neutral,i couldnt find anything at joey hey hey oh hey
sadness,thanks
non-neutral,who in the hell are you
non-neutral,no no no no
disgust,you see that guy he s in classics now but yknow as soon as we leave he s going straight to the porn
disgust,that would be no
anger,enough
surprise,that mail guy had no idea there was something going on between us
non-neutral,oh god just do it call her stop being so testosteroney
disgust,you two will have very hairy children
fear,so so that s that s what i m doing now
disgust,fun where was the fun tell me specifically which part was the fun part wheres my puck
anger,well rachel s not here
fear,that s funny does it does it hurt does the labor hurt
fear,what am i going to do
non-neutral,but having a dove place the ring on your finger would ve been no problem
sadness,i know you probably don t want to go out with me y know because i make too many jokes and i ve never been in a serious relationship and i guess i m not technically a doctor
anger,fine
surprise,yeah hi mark
disgust,thats fine just dont bring it in my mouth
surprise,oh my god are you kidding
non-neutral,okay could you just stop talking for a second yemen that s right yes i m being transferred to yemen
non-neutral,shes also a scientist so shes very smart and pretty and well its actually because of you really that were together i mean i saw what you had with that mike guy and i just said boy i want that
neutral,oh you go out with him
neutral,you don t have a
sadness,im sorry thats all the time we have
joy,oh hi how are you doing
non-neutral,okay because i know that this is my father
fear,no no we
disgust,bye what a manipulative bitch
neutral,women love guys who love babies
fear,oh joey dont
joy,hi
neutral,no we re not
non-neutral,a stripper at a bachelor party that is so clich why dont you get a magician
joy,richards living room drinking wine
fear,no no sir umm she means a lot to me i mean i care i i love rachel
surprise,really
anger,you apologize to the tree right now or i am calling for backup backup backup
non-neutral,i know and then all of the sudden your mom pops into your head
surprise,what it s o clock
surprise,what do you mean this might be your only chance
fear,god do think it really doesn t hurt cause how can they do that
fear,i know dont switch hands okay
anger,i know what time it is but im looking at the wenus and im not happy
neutral,ok alright ok um then could you please uh just give him a message for me please this is
sadness,theres mothers day theres fathers day theres no lesbian lover day
anger,hey hey ok all right thats it
fear,i don t want to lose you
disgust,its ugh
neutral,and
disgust,the spitter
joy,hey hey yertle the turtle a classic
non-neutral,that s okay all right i m gonna play song that s really really sad it s called magician box mix up
neutral,i will think about it
disgust,your mom your telling me your telling me about your mom what is the matter with you
anger,get out
non-neutral,ok ive got milk here you go oh better
joy,pretty cool huh
neutral,do you all promise
neutral,well heres your phone doctor
joy,and a brownie
non-neutral,good good don t tell him don t tell him just have him call me okay
neutral,yeah but i thought that was because i put the whole thing on my hand and made it walk across the table
joy,these these are beads of joy
surprise,sweety what are you talking about
sadness,one more chance ursula please
surprise,what you just click when they click
sadness,it s too complicated with you and rachel and the baby i i just it just wasn t meant to be
neutral,yeah
neutral,not a problem
fear,it have a fear of heights you go to the top of the building
surprise,why why can t she marry me
neutral,and then when they do it they re left with a big black pencil line right down the center of their face
anger,yeah but youre making me look bad
fear,alright you guys we can t turn on each other okay that s just what she wants
neutral,well not much has changed in the last five minutes
sadness,now i look around this cafeteria and y know what i see i see i see division
non-neutral,oh dad really you don t need to
joy,bwah hah hah
anger,i don t need you or anybody else
surprise,look
joy,hey
joy,it s really sweet and and tender
