emotion,utterance
disgust,ugh
joy,they keep throwing these sexual harassment cases at me and i keep knocking them out of the park
joy,hey
joy,no i came here to tell you something else i came here to tell you i still love you
surprise,what
anger,hating you
non-neutral,yeah you suck and shut up and go home
neutral,and then when they do it they re left with a big black pencil line right down the center of their face
anger,well lots of people look are you coming to memorial service or not
surprise,oh my god
joy,okay elizabeth hurely
neutral,what happened
neutral,umm actually i was about to tell you that i was i was going to get out of it but hey if were just goofing around then uh maybe i
sadness,some little girl loaned her uniform to her nineteen year old sister who went down to the u s s
surprise,phoebs its open its open
disgust,oh no no no no last time i left a spontaneous message i ended up using the phrase yes indeedy o
joy,hey
neutral,okay
disgust,yeah
joy,i love hiking
anger,no you have been screwing us all day
disgust,i don t mind paying my dues yknow its just how much am i gonna learn about fashion by walking mira the arthritic seamstress to the bathroom
sadness,look i just lost my other job
joy,oh yeah i d love that
non-neutral,we re not peeking
disgust,nah
surprise,what
anger,i turned it off mother of god i turned it off
non-neutral,who in the hell are you
anger,come on
surprise,what ow
neutral,ah just one other thing
neutral,that s bill clinton
neutral,oh my god honey we are so meant to be together we both have copies of the
sadness,that was a pretty tough year
joy,hey pheebs it s joey
sadness,did i use that already today i m sorry
fear,okay here goes
fear,exactly so you didn t didn t mention anything to issac right
fear,but theyre not here yet
fear,just uh just stand up straight
sadness,dad we we can t believe you re selling the house
joy,i know its great
neutral,okay joey tribbiani invited me back to his apartment now does he do this with a lot of girls
surprise,oh my god that s pete but why is bill huggin pete
anger,oh shut up you know its a rebuilding year you waah
anger,hey dont blame me for wigging tonight
non-neutral,i knew that was him
joy,oooh it s getting close
sadness,all right all right i ll do it
joy,thank you thank you thank you and
disgust,hey lady i dont care how much you want it okay i am
anger,well are any of those people here
neutral,ok alright ok um then could you please uh just give him a message for me please this is
non-neutral,it s just so frustrating why doesn t she want my breast
disgust,ok is there a mute button on this woman
disgust,hi uh nothing that horrible woman just took my machine
neutral,no not anymore
fear,i m sorry i wa i wa i was just ah
neutral,i
neutral,bye
neutral,yes if it really doesn t mean anything because you know that i m just not ready
non-neutral,you re turning into a woman
sadness,its i mean its nothing im fine
surprise,hello oh hi ross see other people call me
neutral,yeah that s right
surprise,thats it
disgust,okay i hear you are you capable of talking about any thing else
neutral,ok now remember when you get to the museum monet is not spelt m o n a y
surprise,he does
neutral,and just to be on the safe side dr wells wanted a more comprehensive overview of you status so he sent me
joy,fine maybe i will too
fear,well i i said yes
anger,we re not throwing it away i built that canoe
disgust,oh my god he threw up
sadness,oh i wanna quit but then i think i should stick it out then i think why would such a person stay in such a demeaning job just because it s remotely related to the field they re interested in
neutral,yeah but i thought that was because i put the whole thing on my hand and made it walk across the table
neutral,well at the christmas party him and santa did some definitely gay stuff
anger,phoebe i asked you to guard the ring
fear,i know i probably shouldnt even tell you this but im pretty much totally intimidated by you
neutral,string
joy,hey
fear,thanks but i kinda have a problem to deal with here
neutral,it was
non-neutral,no never never bye
anger,because i sure as hell can t figure it out
fear,dont let him in im supposed to be at a regatta gala
anger,ohh phoebe this is all your fault now he loves her he s gonna marry her and this is all your fault
disgust,but i stand by my review i know food and that wasn t it
anger,hey it s your thanksgiving too yknow instead of watching football you could help
sadness,you do attract some stinkers
anger,so if you can help me find my father then you should
surprise,wow she is pretty huh
surprise,yeah what what are you doing here
surprise,are you sure
anger,wh ross what do you want from me
joy,okay
non-neutral,and do you remember going into my purse and stealing the phone
disgust,oh no oh no oh no oh no no no no
sadness,it was dreadful i felt terrible about how i acted when you said those wonderful things
sadness,oh i know
non-neutral,hey are you okay
surprise,oh yeah
sadness,it s hard this whole platonic thing
anger,i have a bone to pick with you
non-neutral,is this my fault
surprise,including me
neutral,yknow what you should do you should get her one of those um barium enemas
neutral,chandler
surprise,wow how do you know how to do that
non-neutral,chandler you have the best taste in men
anger,and now pheebs you re doing the same thing
joy,that s right
neutral,okay this is what i m talking about this i i need to live in a land where people can spill
anger,nothing its over dammit this is regularly scheduled programming
fear,sweetheart just gimme gimme another chance okay well start all over again well go back to aruba
neutral,okay
non-neutral,yes
fear,oh yeah well you know me babies responsibilities ahhh
fear,oh god okay alright alright okay ross please dont hate me
disgust,i mean that ain t a pretty picture in the morning y know what i mean
surprise,phoebe you got joey drums to annoy rachel so she wouldnt wanna live there anymore
fear,she is gonna hate me
surprise,aww look at the little thing
anger,who cares
sadness,oh see now i feel bad for the kid
fear,um no
