label,text
Inform,apparently teens are drinking the slushie stuff inside of these for the alcohol
Introduce,we are the manager
Oppose,that is not true marcus
Leave,eh if i did id have to change it on my debit card too
Complain,yeah he has like no respect for the permit
Care,how are things going over there
Care,what is this youre sprinkling
Introduce,its the business that we were gonna start
Praise,you were a great roommate
Inform,i actually just bought some stock in a drone company
Arrange,heather youre in housewares
Comfort,oh okay no worries
Greet,hey
Complain,theres like eight of us thats more of a walk
Introduce,hey denise these are friends of mine
Agree,yes of course
Introduce,hi im amy sosa store manager
Complain,how am i supposed to work checkout
Inform,okay all right new rule no one can be mad about whatever was said in this room okay
Inform,hey guys myrtles nephew just came in
Apologise,again im sorry about the typo
Agree,yeah
Advise,oh we could get like a red bull fountain
Inform,sandra code cottontail
Criticize,you were the one who said he should be telling her
Arrange,mateo give him the gift card
Introduce,this one smells like peanut butter
Inform,also theres a product locator an inventory map
Inform,kira moon from zephra will be surprising us
Agree,yeah you know this is actually exactly
Thank,thank you
Greet,oh hey glenn
Arrange,glenn take this down sandra keep going
Complain,jonah i wasted my afternoon in that meeting just to go along with your new cause
Inform,anyone who ripped up their workbook has failed
Complain,why didnt you just shout hey glenn
Taunt,never forget how fun you are jonah
Arrange,um and jonah and justine you get to help out tomorrow when the rest of the shipment comes in
Praise,youre smart hardworking
Prevent,thats crazy you cant do that
Flaunt,im doing very well
Thank,great thanks also did you know
Complain,and such a massive waste of time
Advise,so maybe marcus could join us
Advise,you can donate to our toy drive
Care,and youve taken him to a doctor and hes doing fine
Thank,sure thanks
Ask for help,but i could really use the help
Ask for help,garrett do you mind if i use your phone
Inform,hes been spotted in the vicinity
Care,hows the search going
Advise,why dont you buy the dryer balls
Praise,elias did a great job with the crepe paper though
Comfort,dont worry about it
Praise,these customers are so handsome
Comfort,no things are good
Leave,bye jonah
Complain,ive never been so tired
Introduce,hi im mateo liwanag
Complain,its actually super distracting
Thank,amazing thank you dina
Arrange,turn all the screens in electronics to mtv
Taunt,okay buddy youre being weird
Leave,turt turt were out of here
Inform,no its that we no longer have to sanitize
Praise,yeah yeah youre good you got this
Complain,we cant trust him about anything
Care,im just checking to see if he and mateo are hitting it off
Thank,thank you for bringing that to my attention
Praise,cool lets all give credit to jonah for janets idea
Apologise,im sorry
Praise,oh my god hes so cute my ovaries are exploding
Inform,the point is sayid youre home now
Joke,cause he eats a lot of sugar so hed be the sweetest
Prevent,we can see that big guy just get out of the way
Inform,so employees must wipe down the register and credit card machine after each customer
Inform,hey tommy some guy with no pants just joined the protest
Criticize,why so you can steal a quart of our pink soap
Praise,yeah it feels kinda good
Introduce,because the ducklings were having a tea party
Taunt,oh great more reasons for the wet lips to yell at me
Comfort,go ahead dont worry ive ive
Complain,uh actually i got tired of explaining
Taunt,what so they can slap the other cheek
Inform,kelly came over from fenton to cover a shift
Taunt,because he thinks hes better than everyone else here
Complain,i have zero control over my employees
Complain,why would we even do it whatre we doing it for
Complain,and for women its that i got taken advantage of
Introduce,our corona tests came back negative
Complain,and after all of that we still cant afford rent
Introduce,my names kimmer with a k
Advise,you could tell em your story
Leave,sorry i should really get going
Arrange,you two are gonna be managing
Inform,there is still a lot that needs to get done and it is crunch time
Oppose,it wasnt it wasnt that
Flaunt,and its the best thing thats ever happened to me
Praise,thats an interesting choice
Inform,excuse me folks can everyone gather up
Care,glenn you smell scared whats up
Apologise,dina i am sorry that i said nobody likes you
